*ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,*InvoiceNumber,Reference,*InvoiceDate,*DueDate,Total,InventoryItemCode,*Description,*Quantity,*UnitAmount,Discount,*AccountCode,*TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,Exchange Rate
Microsoft Regional Sales Pte Ltd,,,,,,,,,,4226.0,,23/06/2024,23/06/2024,,,Cloud monthly subscription,1,63,,61010.0,GST on Expenses,6.3,Job,,,,,
Microsoft Regional Sales Pte Ltd,,,,,,,,,,4227.0,,23/06/2024,23/06/2024,,,Cloud monthly subscription,1,72.6,,61010.0,GST on Expenses,7.26,Job,,,,,
Regional Insurance Broker (RIBSQ Pty Ltd),,,,,,,,,,4228.0,,23/06/2024,23/06/2024,,,Stamp Duty,1,"2,160.44",,62006.0,BAS Excluded,0.00,Job,,,,,
Regional Insurance Broker (RIBSQ Pty Ltd),,,,,,,,,,4228.0,,23/06/2024,23/06/2024,,,Broker fee,1,93.85,,61405.0,GST on Expenses,9.38,Job,,,,,
Regional Insurance Broker (RIBSQ Pty Ltd),,,,,,,,,,4228.0,,23/06/2024,23/06/2024,,,Premium renewal vehicle insurance FY 2024-2025,1,"22,855.8",,62015.0,GST on Expenses,"2,285.58",Job,,,,,
Regional Insurance Broker (RIBSQ Pty Ltd),,,,,,,,,,4228.0,,23/06/2024,23/06/2024,,,Premium adjustment to balance the GST and the invoice. ,1,-23.07,,62015.0,BAS Excluded,0.00,Job,,,,,
Regional Insurance Broker (RIBSQ Pty Ltd),,,,,,,,,,4228.0,,23/06/2024,23/06/2024,,,Credit card surcharge payment made on 25/06/2024,1,186.07,,62015.0,BAS Excluded,0.00,Job,,,,,
Regional Insurance Broker (RIBSQ Pty Ltd),,,,,,,,,,4228.0,,23/06/2024,23/06/2024,,,Credit card surcharge payment made on 27/06/2024,1,225,,62015.0,BAS Excluded,0.00,Job,,,,,
Regional Insurance Broker (RIBSQ Pty Ltd),,,,,,,,,,4228.0,,23/06/2024,23/06/2024,,,ESL,1,23.02,,61406.0,BAS Excluded,0.00,Job,,,,,
Bartons Motors PTY LTD,,,,,,,,,,4229.0,,25/06/2024,25/06/2024,,,"Car service 861BK7, Changing oil, cover reseal is leaking it requires follow up",1,"1,160",,62005.0,GST on Expenses,116,Job,,,,,
Servco Australia Morningside Pty Ltd,,,,,,,,,,4232.0,,25/06/2024,25/06/2024,,,Car service 30.000 kmos 969EL5,1,209.09,,62005.0,GST on Expenses,20.91,Job,,,,,
